date_TTM_30,exdate_TTM_30,kappa_TTM_30,date_TTM_60,exdate_TTM_60,kappa_TTM_60,date_TTM_90,exdate_TTM_90,kappa_TTM_90,date_TTM_180,exdate_TTM_180,kappa_TTM_180
20021218,20030117,0.00427657618581678,20021224,20030222,0.0132202002222464,20021218,20030321,0.0107848006742813,20021218,20030620,0.0234607223548706
20030122,20030221,0.00426171990289819,20030122,20030321,0.0144666679862232,20030115,20030418,0.016180787320908,20030115,20030718,0.0290581061864305
20030219,20030321,0.00549290150421487,20030219,20030418,0.016058139419178,20030212,20030516,0.0188620513559877,20030212,20030815,0.0334244629846241
20030319,20030418,0.00549608415044582,20030319,20030516,0.0156750533971417,20030319,20030620,0.0110301706410761,20030319,20030919,0.0228388167133556
20030416,20030516,0.00258716296378968,20030423,20030620,0.00661544163294123,20030416,20030718,0.0109378842319611,20030416,20031017,0.020351027018035
20030521,20030620,0.00205554625532478,20030521,20030718,0.00728937702890164,20030514,20030815,0.00682592918592646,20030521,20031121,0.0150015598866311
20030618,20030718,0.00148446070284078,20030618,20030815,0.00550166067200331,20030618,20030919,0.00427527780658111,20030618,20031219,0.00996679451160955
20030716,20030815,0.0019084190764784,20030723,20030919,0.00535269374125469,20030716,20031017,0.00814048502829585,20030716,20040116,0.0142907894657264
20030820,20030919,0.00116596270732919,20030820,20031017,0.00564809055284326,20030820,20031121,0.00478988288730823,20030820,20040220,0.0128094437447594
20030917,20031017,0.00129684923427538,20030924,20031121,0.00695630629634469,20030917,20031219,0.00476982993978123,20030917,20040319,0.0111977361200753
20031022,20031121,0.00136852868516014,20031022,20031219,0.00527411218104513,20031015,20040116,0.00809458967443894,20031015,20040416,0.0161173560586081
20031119,20031219,0.00167156923129498,20031119,20040116,0.00545576809362975,20031119,20040220,0.0059395432545447,20031119,20040521,0.0131365749041175
20031217,20040116,0.000865150917284628,20031224,20040220,0.0043931600622142,20031217,20040319,0.00355008032544123,20031217,20040618,0.00940145284970098
20040121,20040220,0.000741276403638509,20040121,20040319,0.0030637301412146,20040114,20040416,0.00571550345265655,20040114,20040716,0.0104479989495283
20040218,20040319,0.000789265449027245,20040218,20040416,0.003791470120101,20040218,20040521,0.00446973899499616,20040218,20040820,0.00990588975554177
20040317,20040416,0.00146308276609971,20040324,20040521,0.00660306578398379,20040317,20040618,0.00437510616573208,20040317,20040917,0.0105438753913931
20040421,20040521,0.00101118421849367,20040421,20040618,0.0043698059540365,20040414,20040716,0.00744889048452866,20040414,20041015,0.0157551890104597
20040519,20040618,0.0016238397847081,20040519,20040716,0.00590280107350656,20040519,20040820,0.0071042442944683,20040519,20041119,0.0161289369787465
20040616,20040716,0.000906884011151464,20040623,20040820,0.00377213955138164,20040616,20040917,0.00414482679385383,20040616,20041217,0.0119602929124932
