date_30,rf_gross_TTM30,date_60,rf_gross_TTM60,date_90,rf_gross_TTM90,date_180,rf_gross_TTM180
19980916,1.00450779037375,19980916,1.00977987894699,19980916,1.01392882826277,19980916,1.02712771616192
19981021,1.00420701422583,19981021,1.00813642678257,19981021,1.01193867068933,19981021,1.02003382695824
19981118,1.00406757729158,19981118,1.00808301301985,19981124,1.01220572059085,19981118,1.02915825013816
19981216,1.00439748821437,19981216,1.00938033129153,19981216,1.01317406799836,19981216,1.02544196259552
19990120,1.0039823504526,19990120,1.00786523693893,19990122,1.01142552219195,19990120,1.02048226237309
19990217,1.00397341429381,19990217,1.00788429323223,19990223,1.01200193682498,19990217,1.02990835000943
19990317,1.00396304046026,19990317,1.0088624219965,19990317,1.01281368828791,19990317,1.02588258747636
19990421,1.00395022464637,19990421,1.00784954231542,19990422,1.01161645672074,19990421,1.02071560373323
19990519,1.0039633074288,19990519,1.00793431727798,19990525,1.01213325491261,19990519,1.03124459853851
19990616,1.00402235171386,19990616,1.00916969364579,19990616,1.01338673439031,19990616,1.02779088856518
19990721,1.00415270549466,19990721,1.00830987718488,19990721,1.0125133975971,19990721,1.02797965387988
19990818,1.00424524023289,19990818,1.00856221381573,19990823,1.01353238837379,19990818,1.02469162748727
19990915,1.00433084651017,19990915,1.01005748811244,19990915,1.0147309744418,19990915,1.02999324554908
19991020,1.00436017339119,19991020,1.00921900807428,19991020,1.01526327346614,19991020,1.02460617250155
19991117,1.00450504599708,19991117,1.0102998097814,19991124,1.01383811848425,19991117,1.03469795084706
19991222,1.00506202999668,19991222,1.00970648300244,19991222,1.01446689046662,19991222,1.03041930195348
20000119,1.00465500098842,20000119,1.00944741454414,20000125,1.01436926965993,20000119,1.02552968017961
20000216,1.0047300125175,20000216,1.0106563025522,20000223,1.01470700074965,20000216,1.03833993379289
20000321,1.00492612218761,20000321,1.01005998811811,20000321,1.01512937312492,20000321,1.0322294379875
20000419,1.00494873510949,20000419,1.00998410665205,20000426,1.01535319564947,20000419,1.02697837823128
20000517,1.00531711014043,20000517,1.01207493013921,20000522,1.0165517889028,20000517,1.04224346913693
20000621,1.0053487982558,20000621,1.01070201485219,20000621,1.01612315300015,20000621,1.03403265559156
20000719,1.00533707755133,20000719,1.01064530162732,20000724,1.01628863419358,20000719,1.0282186692734
20000816,1.00532604813785,20000816,1.01183001539803,20000821,1.01613376290782,20000816,1.04016892392371
20000920,1.00532752600167,20000920,1.010625890921,20000915,1.01687521241648,20000920,1.03308533018072
20001018,1.00532906347758,20001018,1.0105666217621,20001023,1.0161943454814,20001018,1.02739464969457
20001115,1.00532825629074,20001115,1.01188809045526,20001120,1.01612871691046,20001115,1.03911215650414
20001220,1.0053473700955,20001220,1.01025259370976,20001220,1.01503398648475,20001220,1.03026562727391
20010117,1.00476961035118,20010117,1.00913866465299,20010122,1.0133010831315,20010117,1.02277322132044
20010214,1.00448729925484,20010214,1.0096393269911,20010220,1.01264829681403,20010214,1.03164917445223
20010321,1.00407299319542,20010321,1.00774516734758,20010321,1.01130964551631,20010321,1.02339628247657
20010418,1.004065256496,20010418,1.00748692329367,20010423,1.01034355758519,20010418,1.01905137772586
20010516,1.00329086840845,20010516,1.00718291184542,20010521,1.00981595100976,20010516,1.02469745673435
20010620,1.00310631588173,20010620,1.0059775984193,20010620,1.00956131213972,20010620,1.01920826884457
20010718,1.00308149553931,20010718,1.00662122164261,20010726,1.00858839093046,20010718,1.01592923502934
20010822,1.00288063328176,20010822,1.00557336029905,20010822,1.00830789248457,20010822,1.01999534766201
20010919,1.00221346128165,20010919,1.00423643424976,20010919,1.00669844207699,20010919,1.01259891367909
20011017,1.00202355849511,20011017,1.00430086691338,20011022,1.00565073349002,20011017,1.00968165098668
