target_ttm,date,exdate,calendar_ttm,rf_days,rf_annualized,rf_gross
30,20000119,20000218,30,29,0.0584528617857143,1.00465500098842
30,20000216,20000317,30,29,0.0593925628571429,1.0047300125175
30,20000321,20000420,30,29,0.06184898,1.00492612218761
30,20000419,20000519,30,29,0.0621321925714286,1.00494873510949
30,20000517,20000616,30,29,0.06674496,1.00531711014043
30,20000621,20000721,30,29,0.0671416775,1.0053487982558
30,20000719,20000818,30,29,0.0669949422857143,1.00533707755133
30,20000816,20000915,30,29,0.06685686,1.00532604813785
30,20000920,20001020,30,29,0.0668753621428572,1.00532752600167
30,20001018,20001117,30,29,0.0668946105714286,1.00532906347758
30,20001115,20001215,30,29,0.066884505,1.00532825629074
30,20001220,20010119,30,29,0.067123798,1.0053473700955
30,20010117,20010216,30,29,0.0598885933333333,1.00476961035118
30,20010214,20010316,30,29,0.0563517376190476,1.00448729925484
30,20010321,20010420,30,29,0.0511594196428571,1.00407299319542
30,20010418,20010518,30,29,0.0510624385714286,1.004065256496
30,20010516,20010615,30,29,0.0413515466666667,1.00329086840845
30,20010620,20010720,30,29,0.0390361364285714,1.00310631588173
30,20010718,20010817,30,29,0.038724706,1.00308149553931
30,20010822,20010921,30,29,0.0362041260714286,1.00288063328176
30,20010919,20011019,30,29,0.0278282945714286,1.00221346128165
30,20011017,20011116,30,29,0.0254431916666667,1.00202355849511
30,20011121,20011221,30,29,0.0212695660714286,1.00169133943278
30,20011219,20020118,30,29,0.0193568322857143,1.00153912333579
30,20020116,20020215,30,29,0.0176448133333333,1.00140289982036
30,20020213,20020315,30,29,0.0187152933333333,1.00148807459726
30,20020320,20020419,30,29,0.0193666567857143,1.00153990511421
30,20020417,20020517,30,29,0.018811022,1.00149569178356
30,20020522,20020621,30,29,0.0186012532142857,1.00147900043355
30,20020619,20020719,30,29,0.0185876762857143,1.00147792012385
30,20020717,20020816,30,29,0.018599475,1.00147885894183
30,20020821,20020920,30,29,0.018328665,1.00145731094295
30,20020918,20021018,30,29,0.0184286708571429,1.00146526822472
30,20021016,20021115,30,29,0.0184415416666667,1.00146629233591
30,20021120,20021220,30,29,0.0138560746428571,1.00110149980756
30,20021218,20030117,30,29,0.0141640125714286,1.00112599335799
30,20030122,20030221,30,29,0.013695695,1.00108874336081
30,20030219,20030321,30,29,0.01355245,1.00107734992495
30,20030318,20030417,30,29,0.01301161,1.00103433370522
30,20030416,20030516,30,29,0.0134506433333333,1.00106925249442
30,20030521,20030620,30,29,0.0133046192857143,1.00105763824579
30,20030618,20030718,30,29,0.0114330517142857,1.00090879215284
30,20030716,20030815,30,29,0.011158515,1.00088696006185
30,20030820,20030919,30,29,0.0112016532142857,1.00089039052747
30,20030917,20031017,30,29,0.01128948,1.00089737478359
30,20031022,20031121,30,29,0.0112832353571429,1.00089687818878
30,20031119,20031219,30,29,0.0112809102857143,1.00089669329141
30,20031217,20040116,30,29,0.011523125,1.00091595518988
30,20040121,20040220,30,29,0.0110951675,1.00088192252133
30,20040218,20040319,30,29,0.0110222268571429,1.0008761221432
30,20040317,20040416,30,29,0.0110155633333333,1.00087559224883
30,20040421,20040521,30,29,0.0111439239285714,1.00088579974367
30,20040519,20040618,30,29,0.0111886614285714,1.00088935738485
30,20040616,20040716,30,29,0.012729339375,1.00101188377881
30,20040721,20040820,30,29,0.0144303267857143,1.00114717661878
30,20040818,20040917,30,29,0.0162077902857143,1.00128857173794
30,20040915,20041015,30,29,0.0180848075,1.0014379079161
30,20041020,20041119,30,29,0.0192789914285714,1.00153292922001
30,20041117,20041217,30,29,0.0215782742857143,1.00171590872038
30,20041222,20050121,30,29,0.0245474703571429,1.00195225012359
30,20050119,20050218,30,29,0.0252039942857143,1.00200451549548
30,20050216,20050318,30,29,0.0262982077142857,1.00209163105509
30,20050316,20050415,30,29,0.0286569894117647,1.00227945069954
30,20050420,20050520,30,29,0.0303275392857143,1.00241249069692
30,20050518,20050617,30,29,0.0313087988571429,1.00249064491792
30,20050615,20050715,30,29,0.0327380725,1.00260449294427
30,20050720,20050819,30,29,0.034695688,1.0027604467401
30,20050817,20050916,30,29,0.03631287,1.00288929813623
30,20050921,20051021,30,29,0.0387908760714286,1.00308676910181
30,20051019,20051118,30,29,0.0404155422857143,1.00321625897782
30,20051116,20051216,30,29,0.04186414125,1.00333172995963
30,20051221,20060120,30,29,0.0443006053571429,1.00352597580324
