grid_index,gross_return_R
114,0.0142890763025434
115,0.0143889796326544
116,0.0144888829627654
117,0.0145887862928764
118,0.0146886896229874
119,0.0147885929530984
120,0.0148884962832094
121,0.0149883996133204
122,0.0150883029434314
123,0.0151882062735425
124,0.0152881096036535
125,0.0153880129337645
126,0.0154879162638755
127,0.0155878195939865
128,0.0156877229240975
129,0.0157876262542085
130,0.0158875295843195
131,0.0159874329144305
132,0.0160873362445415
133,0.0161872395746525
134,0.0162871429047635
135,0.0163870462348745
136,0.0164869495649855
137,0.0165868528950965
138,0.0166867562252075
139,0.0167866595553185
140,0.0168865628854295
141,0.0169864662155405
142,0.0170863695456515
143,0.0171862728757625
144,0.0172861762058735
145,0.0173860795359845
146,0.0174859828660955
147,0.0175858861962065
148,0.0176857895263175
149,0.0177856928564286
150,0.0178855961865396
151,0.0179854995166506
152,0.0180854028467616
153,0.0181853061768726
154,0.0182852095069836
155,0.0183851128370946
156,0.0184850161672056
157,0.0185849194973166
158,0.0186848228274276
159,0.0187847261575386
160,0.0188846294876496
161,0.0189845328177606
162,0.0190844361478716
163,0.0191843394779826
164,0.0192842428080936
165,0.0193841461382046
166,0.0194840494683156
167,0.0195839527984266
168,0.0196838561285376
169,0.0197837594586486
170,0.0198836627887596
171,0.0199835661188706
172,0.0200834694489816
173,0.0201833727790926
174,0.0202832761092036
175,0.0203831794393146
176,0.0204830827694256
177,0.0205829860995367
178,0.0206828894296477
179,0.0207827927597587
180,0.0208826960898697
181,0.0209825994199807
182,0.0210825027500917
183,0.0211824060802027
184,0.0212823094103137
185,0.0213822127404247
186,0.0214821160705357
187,0.0215820194006467
188,0.0216819227307577
189,0.0217818260608687
190,0.0218817293909797
191,0.0219816327210907
192,0.0220815360512017
193,0.0221814393813127
194,0.0222813427114237
195,0.0223812460415347
196,0.0224811493716457
197,0.0225810527017567
198,0.0226809560318677
199,0.0227808593619787
200,0.0228807626920897
201,0.0229806660222007
202,0.0230805693523117
203,0.0231804726824227
204,0.0232803760125338
205,0.0233802793426448
206,0.0234801826727558
207,0.0235800860028668
208,0.0236799893329778
209,0.0237798926630888
210,0.0238797959931998
211,0.0239796993233108
212,0.0240796026534218
213,0.0241795059835328
214,0.0242794093136438
215,0.0243793126437548
216,0.0244792159738658
217,0.0245791193039768
218,0.0246790226340878
219,0.0247789259641988
220,0.0248788292943098
221,0.0249787326244208
222,0.0250786359545318
223,0.0251785392846428
224,0.0252784426147538
225,0.0253783459448648
226,0.0254782492749758
227,0.0255781526050868
228,0.0256780559351978
229,0.0257779592653088
230,0.0258778625954199
231,0.0259777659255309
232,0.0260776692556419
233,0.0261775725857529
234,0.0262774759158639
235,0.0263773792459749
236,0.0264772825760859
237,0.0265771859061969
238,0.0266770892363079
239,0.0267769925664189
240,0.0268768958965299
241,0.0269767992266409
242,0.0270767025567519
243,0.0271766058868629
244,0.0272765092169739
245,0.0273764125470849
246,0.0274763158771959
247,0.0275762192073069
248,0.0276761225374179
249,0.0277760258675289
250,0.0278759291976399
251,0.0279758325277509
252,0.0280757358578619
253,0.0281756391879729
254,0.0282755425180839
255,0.0283754458481949
256,0.0284753491783059
257,0.0285752525084169
258,0.028675155838528
259,0.028775059168639
260,0.02887496249875
261,0.028974865828861
262,0.029074769158972
263,0.029174672489083
264,0.029274575819194
265,0.029374479149305
266,0.029474382479416
267,0.029574285809527
268,0.029674189139638
269,0.029774092469749
270,0.02987399579986
271,0.029973899129971
272,0.030073802460082
273,0.030173705790193
274,0.030273609120304
275,0.030373512450415
276,0.030473415780526
277,0.030573319110637
278,0.030673222440748
279,0.030773125770859
280,0.03087302910097
281,0.030972932431081
282,0.031072835761192
283,0.031172739091303
284,0.031272642421414
285,0.0313725457515251
286,0.0314724490816361
287,0.0315723524117471
288,0.0316722557418581
289,0.0317721590719691
290,0.0318720624020801
291,0.0319719657321911
292,0.0320718690623021
293,0.0321717723924131
294,0.0322716757225241
295,0.0323715790526351
296,0.0324714823827461
297,0.0325713857128571
298,0.0326712890429681
299,0.0327711923730791
300,0.0328710957031901
301,0.0329709990333011
302,0.0330709023634121
303,0.0331708056935231
304,0.0332707090236341
305,0.0333706123537451
306,0.0334705156838561
307,0.0335704190139671
308,0.0336703223440781
309,0.0337702256741891
310,0.0338701290043001
311,0.0339700323344111
312,0.0340699356645222
313,0.0341698389946332
314,0.0342697423247442
315,0.0343696456548552
316,0.0344695489849662
317,0.0345694523150772
318,0.0346693556451882
319,0.0347692589752992
320,0.0348691623054102
321,0.0349690656355212
322,0.0350689689656322
323,0.0351688722957432
324,0.0352687756258542
325,0.0353686789559652
326,0.0354685822860762
327,0.0355684856161872
328,0.0356683889462982
329,0.0357682922764092
330,0.0358681956065202
331,0.0359680989366312
332,0.0360680022667422
333,0.0361679055968532
334,0.0362678089269642
335,0.0363677122570752
336,0.0364676155871862
337,0.0365675189172972
338,0.0366674222474083
339,0.0367673255775193
340,0.0368672289076303
341,0.0369671322377413
342,0.0370670355678523
343,0.0371669388979633
344,0.0372668422280743
345,0.0373667455581853
346,0.0374666488882963
347,0.0375665522184073
348,0.0376664555485183
349,0.0377663588786293
350,0.0378662622087403
351,0.0379661655388513
352,0.0380660688689623
353,0.0381659721990733
354,0.0382658755291843
355,0.0383657788592953
356,0.0384656821894063
357,0.0385655855195173
358,0.0386654888496283
359,0.0387653921797393
360,0.0388652955098503
361,0.0389651988399613
362,0.0390651021700723
363,0.0391650055001833
364,0.0392649088302943
365,0.0393648121604053
366,0.0394647154905163
367,0.0395646188206274
368,0.0396645221507384
369,0.0397644254808494
370,0.0398643288109604
371,0.0399642321410714
372,0.0400641354711824
373,0.0401640388012934
374,0.0402639421314044
375,0.0403638454615154
376,0.0404637487916264
377,0.0405636521217374
378,0.0406635554518484
379,0.0407634587819594
380,0.0408633621120704
381,0.0409632654421814
382,0.0410631687722924
383,0.0411630721024034
384,0.0412629754325144
385,0.0413628787626254
386,0.0414627820927364
387,0.0415626854228474
388,0.0416625887529584
389,0.0417624920830694
390,0.0418623954131804
391,0.0419622987432915
392,0.0420622020734024
393,0.0421621054035135
394,0.0422620087336245
395,0.0423619120637355
396,0.0424618153938465
397,0.0425617187239575
398,0.0426616220540685
399,0.0427615253841795
400,0.0428614287142905
401,0.0429613320444015
402,0.0430612353745125
403,0.0431611387046235
404,0.0432610420347345
405,0.0433609453648455
406,0.0434608486949565
407,0.0435607520250675
408,0.0436606553551785
409,0.0437605586852895
410,0.0438604620154005
411,0.0439603653455115
412,0.0440602686756225
413,0.0441601720057335
414,0.0442600753358445
415,0.0443599786659555
416,0.0444598819960665
417,0.0445597853261775
418,0.0446596886562885
419,0.0447595919863995
420,0.0448594953165106
421,0.0449593986466216
422,0.0450593019767326
423,0.0451592053068436
424,0.0452591086369546
425,0.0453590119670656
426,0.0454589152971766
427,0.0455588186272876
428,0.0456587219573986
429,0.0457586252875096
430,0.0458585286176206
431,0.0459584319477316
432,0.0460583352778426
433,0.0461582386079536
434,0.0462581419380646
435,0.0463580452681756
436,0.0464579485982866
437,0.0465578519283976
438,0.0466577552585086
439,0.0467576585886196
440,0.0468575619187306
441,0.0469574652488416
442,0.0470573685789526
443,0.0471572719090636
444,0.0472571752391746
445,0.0473570785692856
446,0.0474569818993966
447,0.0475568852295077
448,0.0476567885596187
449,0.0477566918897297
450,0.0478565952198407
451,0.0479564985499517
452,0.0480564018800627
453,0.0481563052101737
454,0.0482562085402847
455,0.0483561118703957
456,0.0484560152005067
457,0.0485559185306177
458,0.0486558218607287
459,0.0487557251908397
460,0.0488556285209507
461,0.0489555318510617
462,0.0490554351811727
463,0.0491553385112837
464,0.0492552418413947
465,0.0493551451715057
466,0.0494550485016167
467,0.0495549518317277
468,0.0496548551618387
469,0.0497547584919497
470,0.0498546618220607
471,0.0499545651521717
472,0.0500544684822827
473,0.0501543718123937
474,0.0502542751425048
475,0.0503541784726158
476,0.0504540818027268
477,0.0505539851328378
478,0.0506538884629488
479,0.0507537917930598
480,0.0508536951231708
481,0.0509535984532818
482,0.0510535017833928
483,0.0511534051135038
484,0.0512533084436148
485,0.0513532117737258
486,0.0514531151038368
487,0.0515530184339478
488,0.0516529217640588
489,0.0517528250941698
490,0.0518527284242808
491,0.0519526317543918
492,0.0520525350845028
493,0.0521524384146138
494,0.0522523417447248
495,0.0523522450748358
496,0.0524521484049468
497,0.0525520517350578
498,0.0526519550651688
