R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT,A5,R5,A6,R6
1.17826667,0.97824802,-0.10310979,0.18316176,-0.42003551,0.1054025,0.12419226,1.77637607,2.09304472,2.29324891,2.70205875,3.10984895,3.66423135,3.95107617,4.65542135
1.17833333,0.97824115,-0.10309758,0.18313376,-0.41994844,0.10539076,0.12418545,1.77631487,2.09309102,2.29312407,2.70206453,3.10967455,3.66423318,3.95085281,4.65542156
1.1784,0.97823427,-0.10308537,0.18310577,-0.41986139,0.10537902,0.12417864,1.77625367,2.09313733,2.29299925,2.70207031,3.10950018,3.66423501,3.95062948,4.65542178
1.17846667,0.9782274,-0.10307317,0.18307778,-0.41977437,0.10536728,0.12417183,1.77619249,2.09318364,2.29287444,2.7020761,3.10932582,3.66423683,3.95040617,4.65542199
1.17853333,0.97822053,-0.10306096,0.1830498,-0.41968736,0.10535555,0.12416503,1.77613131,2.09322995,2.29274964,2.70208188,3.10915148,3.66423866,3.95018289,4.65542221
1.1786,0.97821366,-0.10304876,0.18302182,-0.41960038,0.10534381,0.12415822,1.77607014,2.09327627,2.29262486,2.70208767,3.10897717,3.66424049,3.94995963,4.65542242
1.17866667,0.97820679,-0.10303656,0.18299385,-0.41951343,0.10533208,0.12415141,1.77600898,2.09332259,2.2925001,2.70209345,3.10880287,3.66424232,3.9497364,4.65542264
1.17873333,0.97819992,-0.10302436,0.18296589,-0.41942649,0.10532035,0.12414461,1.77594784,2.09336891,2.29237535,2.70209924,3.10862859,3.66424414,3.9495132,4.65542286
1.1788,0.97819305,-0.10301216,0.18293793,-0.41933958,0.10530862,0.1241378,1.7758867,2.09341524,2.29225061,2.70210502,3.10845434,3.66424597,3.94929002,4.65542308
1.17886667,0.97818619,-0.10299997,0.18290998,-0.41925269,0.10529689,0.124131,1.77582557,2.09346157,2.29212589,2.70211081,3.1082801,3.6642478,3.94906687,4.65542329
1.17893333,0.97817932,-0.10298777,0.18288203,-0.41916583,0.10528517,0.12412419,1.77576445,2.0935079,2.29200118,2.70211659,3.10810588,3.66424963,3.94884374,4.65542351
1.179,0.97817246,-0.10297558,0.18285409,-0.41907898,0.10527344,0.12411739,1.77570334,2.09355424,2.29187649,2.70212238,3.10793169,3.66425146,3.94862063,4.65542373
1.17906667,0.97816559,-0.10296339,0.18282615,-0.41899216,0.10526172,0.12411059,1.77564224,2.09360058,2.29175181,2.70212816,3.10775751,3.66425329,3.94839756,4.65542395
1.17913333,0.97815873,-0.10295121,0.18279822,-0.41890537,0.10525,0.12410378,1.77558115,2.09364692,2.29162714,2.70213395,3.10758335,3.66425512,3.9481745,4.65542416
1.1792,0.97815186,-0.10293902,0.1827703,-0.41881859,0.10523828,0.12409698,1.77552007,2.09369327,2.29150249,2.70213974,3.10740922,3.66425695,3.94795148,4.65542438
1.17926667,0.978145,-0.10292684,0.18274238,-0.41873184,0.10522656,0.12409018,1.775459,2.09373961,2.29137786,2.70214553,3.1072351,3.66425878,3.94772848,4.6554246
1.17933333,0.97813814,-0.10291466,0.18271447,-0.41864511,0.10521485,0.12408338,1.77539794,2.09378597,2.29125323,2.70215131,3.107061,3.66426061,3.9475055,4.65542482
1.1794,0.97813128,-0.10290248,0.18268656,-0.41855841,0.10520313,0.12407658,1.77533688,2.09383232,2.29112863,2.7021571,3.10688692,3.66426244,3.94728255,4.65542504
1.17946667,0.97812442,-0.1028903,0.18265866,-0.41847172,0.10519142,0.12406977,1.77527584,2.09387868,2.29100403,2.70216289,3.10671287,3.66426427,3.94705962,4.65542526
1.17953333,0.97811756,-0.10287812,0.18263076,-0.41838506,0.10517971,0.12406297,1.77521481,2.09392504,2.29087945,2.70216868,3.10653883,3.6642661,3.94683673,4.65542548
1.1796,0.9781107,-0.10286595,0.18260287,-0.41829843,0.105168,0.12405617,1.77515379,2.09397141,2.29075489,2.70217447,3.10636481,3.66426793,3.94661385,4.6554257
1.17966667,0.97810385,-0.10285377,0.18257499,-0.41821181,0.10515629,0.12404937,1.77509277,2.09401778,2.29063034,2.70218026,3.10619081,3.66426976,3.946391,4.65542592
1.17973333,0.97809699,-0.1028416,0.18254711,-0.41812522,0.10514459,0.12404257,1.77503177,2.09406415,2.2905058,2.70218605,3.10601683,3.66427159,3.94616818,4.65542614
1.1798,0.97809013,-0.10282943,0.18251924,-0.41803865,0.10513288,0.12403577,1.77497078,2.09411052,2.29038128,2.70219184,3.10584288,3.66427342,3.94594538,4.65542636
1.17986667,0.97808328,-0.10281727,0.18249137,-0.41795211,0.10512118,0.12402897,1.77490979,2.0941569,2.29025677,2.70219763,3.10566894,3.66427526,3.94572261,4.65542658
1.17993333,0.97807642,-0.1028051,0.18246351,-0.41786558,0.10510948,0.12402218,1.77484882,2.09420328,2.29013228,2.70220342,3.10549502,3.66427709,3.94549986,4.6554268
1.18,0.97806957,-0.10279294,0.18243566,-0.41777908,0.10509778,0.12401538,1.77478785,2.09424967,2.2900078,2.70220921,3.10532112,3.66427892,3.94527714,4.65542702
