date_TTM_30,exdate_TTM_30,kappa_TTM_30,date_TTM_60,exdate_TTM_60,kappa_TTM_60,date_TTM_90,exdate_TTM_90,kappa_TTM_90,date_TTM_180,exdate_TTM_180,kappa_TTM_180
20010215,20010316,0.854485656319401,20010220,20010420,0.984721450358464,20010423,20010720,0.895978851133168,20110321,20110916,0.893788655715925
20010322,20010420,0.852230801642805,20010320,20010518,0.983951365250753,20010521,20010817,0.89490604401761,20110620,20111216,0.892226916535775
20010419,20010518,0.854398485961013,20010417,20010615,0.987294435821075,20010625,20010921,0.894012599902853,20110919,20120316,0.907832842456771
20010517,20010615,0.853241378012501,20010522,20010720,0.982398123239693,20010723,20011019,0.895662696361498,20111219,20120615,0.900612470368761
20010621,20010720,0.852712024979279,20010619,20010817,0.981598946114681,20010820,20011116,0.894898476706364,20120326,20120921,0.887888409188175
20010719,20010817,0.853219292085773,20010724,20010921,0.983111901573772,20010924,20011221,0.890921336050401,20120521,20121116,0.896851962256982
20010823,20010921,0.853039338743841,20010821,20011019,0.983418423566351,20011022,20020118,0.891035894203087,20120625,20121221,0.892956178306056
20010920,20011019,0.846251698372789,20010918,20011116,0.977916447763174,20011119,20020215,0.888874212419243,20120917,20130315,0.883094113307218
20011018,20011116,0.850081217987656,20011023,20011221,0.981336882604554,20011217,20020315,0.888374876495655,20121224,20130621,0.884718797525595
20011123,20011221,0.851045895403049,20011120,20020118,0.978297734423051,20020122,20020419,0.889818468602853,20130325,20130920,0.883799008933153
20011220,20020118,0.850655260646494,20011218,20020215,0.977992359831815,20020219,20020517,0.891687723146158,20130624,20131220,0.89087515869804
20020117,20020215,0.851448191008568,20020115,20020315,0.97901370371351,20020325,20020621,0.893089268531537,20130722,20140117,0.88390344536316
20020214,20020315,0.851559917027736,20020219,20020419,0.980086482672279,20020422,20020719,0.89259424910866,20130923,20140321,0.883373268848489
20020321,20020419,0.852426436834612,20020319,20020517,0.980715217164657,20020520,20020816,0.892712591515617,20131223,20140620,0.886278526199354
20020418,20020517,0.851784872247494,20020423,20020621,0.979901371723516,20020624,20020920,0.889212119522051,20140324,20140919,0.88770610586858
20020523,20020621,0.852918617515432,20020521,20020719,0.980212501153449,20020722,20021018,0.883686982890065,20140623,20141219,0.883782313354314
20020620,20020719,0.84978179378779,20020618,20020816,0.979420057699893,20020819,20021115,0.888158899379343,20140721,20150116,0.884904385012026
20020718,20020816,0.847526884840029,20020723,20020920,0.972557357936811,20020923,20021220,0.880097180984545,20140922,20150320,0.886861568108133
20020822,20020920,0.85019837259298,20020820,20021018,0.977590729644752,20021021,20030117,0.880346989055775,20141222,20150619,0.893629249721027
20020919,20021018,0.845725786560432,20020917,20021115,0.974363987086377,20021125,20030221,0.88405721381527,20150323,20150918,0.891096221238595
20021017,20021115,0.846505435735621,20021022,20021220,0.972499689513518,20021223,20030321,0.881454775634133,20150622,20151218,0.888231514775678
20021121,20021220,0.849395610718541,20021119,20030117,0.97425422024185,20030121,20030417,0.882154726193145,20150720,20160115,0.887526277670956
20021219,20030117,0.847571034665813,20021224,20030221,0.973614755158176,20030324,20030620,0.881159503396758,20150921,20160318,0.892871190797084
20030123,20030221,0.848856157795425,20030121,20030321,0.973395626486897,20030421,20030718,0.883385704321813,20151221,20160617,0.89691306811777
20030220,20030321,0.847161540608897,20030218,20030417,0.972947999890079,20030519,20030815,0.884418935958428,20160321,20160916,0.889747130790414
20030320,20030417,0.847128368328601,20030318,20030516,0.971418528840659,20030623,20030919,0.885066867816652,20160620,20161216,0.89120525453563
20030417,20030516,0.849832179735583,20030422,20030620,0.974339654447571,20030721,20031017,0.8873888876532,20160725,20170120,0.889559276977822
20030522,20030620,0.85031211572593,20030520,20030718,0.974350863273652,20030825,20031121,0.885801626444109,20160919,20170317,0.892375683459037
20030619,20030718,0.849947393582959,20030617,20030815,0.97494018305142,20030922,20031219,0.886066165795923,20161219,20170616,0.893607697882976
20030717,20030815,0.849933503090007,20030722,20030919,0.975653226969841,20031020,20040116,0.888247811252748,20170320,20170915,0.894599572676239
20030821,20030919,0.850973873310572,20030819,20031017,0.97611604908002,20031124,20040220,0.889311325567251,20170619,20171215,0.893737519673443
20030918,20031017,0.851025104472881,20030923,20031121,0.975609465799174,20031222,20040319,0.890053652425615,20170724,20180119,0.893559745666781
