Simulation,LL_Null,LL_Alternative,TestStatistic,PIT_Sup_Null,PIT_Sup_Alternative,PIT_Pairwise_Delta,KS_Null,KS_Alternative,ExitFlag_Null,ExitFlag_Alternative
19,625.846787986886,626.829088479372,1.96460098497209,0.023943661971831,0.023943661971831,0.00845070422535212,0.0339559846773212,0.036085142553787,2,2
20,631.085115945409,631.349059524615,0.527887158411431,0.0323943661971831,0.0380281690140845,0.00845070422535212,0.0344846947211855,0.0409084959092679,2,1
21,636.037368210159,637.362272103015,2.64980778571203,0.0408450704225352,0.0295774647887324,0.0140845070422535,0.0373264605352063,0.0314358466096072,2,2
22,617.383637126618,619.501687089533,4.23609992582942,0.0352112676056338,0.0323943661971831,0.0112676056338028,0.0471092456852966,0.0261884258050203,2,2
23,613.752142253361,616.777388261491,6.0504920162607,0.0211267605633803,0.0295774647887324,0.0309859154929577,0.057945585460316,0.0281643924502546,2,2
24,627.813087068477,628.193147394073,0.76012065119221,0.0154929577464789,0.0183098591549296,0.00563380281690141,0.0224401699135117,0.0254925014613937,1,2
25,597.217153116824,600.009561926987,5.58481762032511,0.0211267605633803,0.0323943661971831,0.0169014084507042,0.0421645071363941,0.0270919238347632,1,2
26,607.708070503646,610.948041356186,6.47994170508036,0.0211267605633803,0.0380281690140845,0.0169014084507042,0.0310399205115064,0.0392505083986963,2,2
27,639.490626898048,640.776755689766,2.5722575834352,0.0352112676056338,0.0295774647887324,0.0225352112676056,0.0501866959137109,0.0403248403313041,2,2
28,579.498811439989,582.426341770355,5.85506066073117,0.0267605633802817,0.0183098591549296,0.0338028169014084,0.0453274050728615,0.0261587499032101,1,2
29,619.741565177566,620.150855149715,0.818579944297653,0.0352112676056338,0.0352112676056338,0.00563380281690141,0.0335004170035872,0.0365222572789778,2,2
30,637.658926407458,639.507227933074,3.69660305123193,0.0154929577464789,0.0211267605633803,0.0140845070422535,0.0261999815277699,0.0471836885967604,1,2
31,585.136183973811,586.919452349693,3.56653675176381,0.0436619718309859,0.0352112676056338,0.0225352112676056,0.0470276894776926,0.0402652924836197,2,2
32,618.823732527268,619.867878509158,2.08829196377928,0.0323943661971831,0.0211267605633803,0.0140845070422535,0.0592774393729355,0.0565067844894316,1,2
33,620.667720188444,620.679733493674,0.0240266104592592,0.0408450704225352,0.0464788732394366,0.0056338028169014,0.0387378417843294,0.038172412100224,2,1
34,618.168896459491,621.22091665304,6.10404038709748,0.0352112676056338,0.0352112676056338,0.0253521126760563,0.0484972282518771,0.0340520544025301,2,2
35,623.315692409289,624.618855836577,2.60632685457722,0.0380281690140845,0.023943661971831,0.0140845070422535,0.0475283835176422,0.0334363370933074,2,2
36,645.000930725115,645.260973470428,0.520085490627025,0.0211267605633803,0.023943661971831,0.00845070422535212,0.0422379685053298,0.046194169043671,1,1
37,605.303934582987,609.693485817677,8.77910246937927,0.0211267605633803,0.0295774647887324,0.0169014084507042,0.0253156946845345,0.0447659109733382,2,2
38,633.046566154454,633.723018275793,1.35290424267669,0.0183098591549296,0.0211267605633803,0.00845070422535212,0.0354005525774079,0.0266579957695758,2,2
