alpha,beta,b4_loglik,b4_BIC,b5_loglik,b5_BIC,b6_loglik,b6_BIC,b7_loglik,b7_BIC,b8_loglik,b8_BIC,b9_loglik,b9_BIC
0.9,1.05,559.7257,-1090.7363,559.7251,-1084.9921,559.7944,-1079.3879,559.8047,-1073.6653,559.7761,-1067.8653,559.8559,-1062.2818
0.9,1.1,559.4512,-1090.1875,559.4616,-1084.4652,559.5084,-1078.8157,559.5658,-1073.1875,559.5604,-1067.4338,559.564,-1061.698
0.9,1.15,559.0805,-1089.4459,559.1384,-1083.8188,559.1156,-1078.0301,559.2348,-1072.5257,559.2837,-1066.8805,559.197,-1060.964
0.9,1.2,558.629,-1088.543,558.7562,-1083.0544,558.6594,-1077.1178,558.8274,-1071.7108,558.9512,-1066.2154,558.7755,-1060.1209
0.9,1.25,558.1233,-1087.5316,558.3235,-1082.189,558.1619,-1076.1228,558.3608,-1070.7776,558.5742,-1065.4613,558.3161,-1059.2022
0.9,1.3,557.5919,-1086.4689,557.8496,-1081.2412,557.638,-1075.0749,562.7673,-1079.5906,558.1616,-1064.6361,557.8319,-1058.2338
0.95,0.8,559.4289,-1090.1427,559.4289,-1084.3997,559.4289,-1078.6567,559.4289,-1072.9137,559.4289,-1067.1707,559.4289,-1061.4277
0.95,0.85,560.9834,-1093.2518,560.9834,-1087.5088,560.9834,-1081.7658,560.9834,-1076.0228,560.9834,-1070.2798,560.9834,-1064.5368
0.95,0.9,561.3656,-1094.0161,561.3623,-1088.2666,561.3712,-1082.5414,561.5876,-1077.2312,561.5344,-1071.3817,561.3693,-1065.3085
0.95,0.95,561.2904,-1093.8657,561.282,-1088.106,561.2922,-1082.3835,562.0583,-1078.1727,561.9546,-1072.2221,561.3219,-1065.2137
0.95,1,561.0578,-1093.4007,561.0563,-1087.6546,561.0661,-1081.9312,562.401,-1078.8579,562.2681,-1072.8493,561.1282,-1064.8264
0.95,1.05,560.7142,-1092.7134,560.7146,-1086.9711,560.7291,-1081.2572,562.5891,-1079.2341,562.4415,-1073.196,560.8294,-1064.2288
0.95,1.1,560.291,-1091.8669,560.2808,-1086.1037,560.3119,-1080.4228,562.7226,-1079.5012,562.5726,-1073.4582,562.6006,-1067.7711
0.95,1.15,559.8102,-1090.9054,559.774,-1085.0899,559.8363,-1079.4716,562.9448,-1079.9457,562.6469,-1073.6068,562.6454,-1067.8608
0.95,1.2,559.2875,-1089.8601,559.2087,-1083.9594,559.318,-1078.435,562.9878,-1080.0316,562.72,-1073.753,562.6547,-1067.8793
0.95,1.25,558.7343,-1088.7536,558.5967,-1082.7354,558.7685,-1077.3359,562.7618,-1079.5797,559.0815,-1066.4761,562.6397,-1067.8493
0.95,1.3,558.1589,-1087.6027,557.9486,-1081.4391,558.1962,-1076.1913,562.9814,-1080.0187,562.6348,-1073.5826,562.6062,-1067.7823
1,0.8,559.9726,-1091.2303,559.9726,-1085.4873,559.9729,-1079.7447,560.0203,-1074.0967,559.9726,-1068.2583,559.9726,-1062.5153
1,0.85,561.2003,-1093.6856,561.205,-1087.9519,561.2554,-1082.3098,561.3479,-1076.7519,561.2586,-1070.8302,561.2407,-1065.0514
1,0.9,561.3653,-1094.0157,561.5119,-1088.5657,561.4447,-1082.6885,561.8074,-1077.6707,561.6047,-1071.5223,561.5894,-1065.7487
1,0.95,561.1993,-1093.6835,561.2828,-1088.1076,561.2214,-1082.2417,562.0489,-1078.1537,561.8115,-1071.9359,561.7623,-1066.0945
1,1,560.8686,-1093.0223,560.856,-1087.254,560.8716,-1081.5421,562.2003,-1078.4566,560.9399,-1070.1928,561.9277,-1066.4254
1,1.05,560.4228,-1092.1306,560.3333,-1086.2085,560.4229,-1080.6449,562.3328,-1078.7215,562.0188,-1072.3506,561.967,-1066.504
1,1.1,559.8949,-1091.0748,559.7365,-1085.0149,559.8983,-1079.5956,562.1508,-1078.3575,562.0546,-1072.4221,562.0347,-1066.6393
1,1.15,559.308,-1089.9009,559.0836,-1083.7091,559.3157,-1078.4304,562.3828,-1078.8216,559.3787,-1067.0704,562.0407,-1066.6514
1,1.2,558.6781,-1088.6411,558.389,-1082.32,558.6896,-1077.1782,562.2978,-1078.6516,562.0207,-1072.3544,562.0158,-1066.6015
1,1.25,558.017,-1087.319,557.6645,-1080.8709,558.0318,-1075.8625,562.0732,-1078.2024,558.0306,-1064.3742,561.968,-1066.5059
1,1.3,557.3333,-1085.9516,556.9191,-1079.3803,557.3508,-1074.5007,562.0102,-1078.0763,561.9066,-1072.1261,561.9063,-1066.3825
1.05,0.8,559.107,-1089.499,559.107,-1083.756,559.1894,-1078.1777,559.2873,-1072.6307,559.1779,-1066.6687,559.3968,-1061.3637
1.05,0.85,560.0751,-1091.4352,560.2222,-1085.9865,560.2796,-1080.3582,560.5845,-1075.225,560.2999,-1068.9129,560.2699,-1063.1097
1.05,0.9,560.0971,-1091.4791,560.5894,-1086.7207,560.2933,-1080.3856,561.2104,-1076.4767,560.8244,-1069.9617,560.3653,-1063.3005
1.05,0.95,559.8389,-1090.9628,560.4572,-1086.4564,559.932,-1079.6629,561.573,-1077.202,560.9596,-1070.2322,560.9525,-1064.475
1.05,1,559.4095,-1090.1039,559.9908,-1085.5236,559.4512,-1078.7013,560.9332,-1075.9224,559.9931,-1068.2992,560.8889,-1064.3478
1.05,1.05,558.8606,-1089.0062,559.3459,-1084.2337,558.8776,-1077.5542,560.9732,-1076.0024,559.3947,-1067.1024,561.2079,-1064.9857
1.05,1.1,558.227,-1087.7391,558.6456,-1082.8332,558.2328,-1076.2645,561.3715,-1076.799,558.7447,-1065.8023,561.2614,-1065.0927
1.05,1.15,557.5325,-1086.3499,557.907,-1081.356,557.5337,-1074.8663,561.3768,-1076.8095,558.0576,-1064.4282,560.8826,-1064.3353
1.05,1.2,556.7938,-1084.8725,557.1423,-1079.8267,556.7938,-1073.3865,560.918,-1075.8919,557.3453,-1063.0035,560.8361,-1064.2422
1.05,1.25,556.023,-1083.331,556.3614,-1078.2647,556.0235,-1071.846,560.8649,-1075.7857,556.6167,-1061.5463,560.7762,-1064.1224
1.05,1.3,555.2292,-1081.7433,555.5717,-1076.6853,555.231,-1070.261,560.7955,-1075.6471,555.879,-1060.0709,560.6591,-1063.8881
1.1,0.8,557.1442,-1085.5734,557.1981,-1079.9382,557.376,-1074.551,557.4326,-1068.9212,557.3563,-1063.0256,557.3492,-1057.2683
1.1,0.85,557.9057,-1087.0963,558.3528,-1082.2475,558.3038,-1076.4066,558.2774,-1070.6107,558.5704,-1065.4537,558.3742,-1059.3185
