Simulation,LL_Null,LL_Alternative,Alpha_B,Beta_B,TestStatistic,PIT_Sup_Null,PIT_Sup_Alternative,PIT_Pairwise_Delta,KS_Null,KS_Alternative,ExitFlag_Null,ExitFlag_Alternative,AlphaSearchExpanded,AlphaBoundaryHit,AlphaCandidatesEvaluated,AlphaCandidatesEstimated,AlphaNullCandidateReused,AlphaSearchStopReason
18,611.960409808091,611.960409808091,1,1,0,0.0246478873239437,0.0246478873239437,0,0.051245744859833,0.051245744859833,2,2,0,0,5,4,1,interior optimum
19,625.846787986886,625.846787986886,1,1,0,0.0204225352112676,0.0204225352112676,0,0.0339559846773212,0.0339559846773212,2,2,0,0,5,4,1,interior optimum
20,631.085115945409,631.312642596627,0.95,1,0.45505330243509,0.0345070422535211,0.0288732394366197,0.0197183098591549,0.0344846947211855,0.0360471613533199,2,2,0,0,5,4,1,interior optimum
21,636.037368210159,636.037368210159,1,1,0,0.0316901408450704,0.0316901408450704,0,0.0373264605352063,0.0373264605352063,2,2,0,0,5,4,1,interior optimum
22,617.383637126618,618.129765121664,0.95,1,1.49225599009242,0.026056338028169,0.021830985915493,0.0253521126760563,0.0471092456852966,0.0305062221691742,2,2,0,0,5,4,1,interior optimum
23,613.752142253361,615.324734318433,0.95,1,3.14518413014366,0.0190140845070423,0.0204225352112676,0.0169014084507042,0.057945585460316,0.0517647533123638,2,2,1,0,7,6,1,interior optimum
24,627.813087068477,628.224555246312,0.95,1,0.82293635567089,0.0161971830985916,0.0176056338028169,0.00845070422535212,0.0224401699135117,0.029970145256922,1,1,0,0,5,4,1,interior optimum
25,597.217153116824,597.922021647618,1.05,1,1.40973706158798,0.0246478873239437,0.0190140845070423,0.0140845070422535,0.0421645071363941,0.0436555958574417,1,2,1,0,7,6,1,interior optimum
26,607.708070503646,607.735976234477,1.05,1,0.0558114616615057,0.0176056338028169,0.026056338028169,0.0140845070422535,0.0310399205115064,0.0244854947617473,2,2,0,0,5,4,1,interior optimum
27,639.490626898048,640.560817161335,0.95,1,2.1403805265727,0.026056338028169,0.026056338028169,0.0197183098591549,0.0501866959137109,0.0336454817415833,2,1,1,0,7,6,1,interior optimum
28,579.498811439989,580.089579233826,1.05,1,1.1815355876729,0.0288732394366197,0.0176056338028169,0.0140845070422535,0.0453274050728615,0.0415315171483792,1,2,1,0,7,6,1,interior optimum
