date_30,rf_gross_TTM30,date_60,rf_gross_TTM60,date_90,rf_gross_TTM90,date_180,rf_gross_TTM180
19980820,1.00438603225037,19980818,1.00912155751005,19981019,1.01211147448102,20030922,1.00584580957019
19980917,1.00435492670879,19980922,1.00889090347708,19981123,1.01232917025062,20031222,1.0061245299366
19981022,1.00406499934923,19981020,1.00825623367948,19981221,1.01244041789546,20040322,1.00571651982127
19981119,1.00390918037715,19981117,1.00840570130081,19990119,1.01187012517892,20040621,1.00971378518759
19981217,1.00419354112455,19981222,1.00847153011214,19990222,1.01212706070873,20040920,1.01062276311724
19990121,1.00383555218083,19990119,1.00799831341753,19990322,1.01210433957186,20041220,1.01389989576627
19990218,1.00383196654715,19990216,1.00803033997139,19990419,1.01206697329258,20050321,1.01686822997428
19990318,1.00381628896708,19990323,1.00802790313062,19990524,1.01226663457702,20050620,1.01839268839614
19990422,1.00379947750952,19990420,1.00799389744616,19990621,1.012670723598,20050919,1.02025706347971
19990520,1.00382064455251,19990518,1.00806886916282,19990719,1.01284029837594,20051219,1.02333400956877
19990617,1.00387077271521,19990622,1.00836706299217,19990823,1.01353238837379,20060320,1.02504011661625
19990722,1.00400758008178,19990720,1.00846141977867,19990920,1.01397982209508,20060619,1.02764950768915
19990819,1.00412873193565,19990817,1.00871156650037,19991025,1.01439067097708,20060918,1.02697075462459
19990916,1.00417970289462,19990921,1.00914751324418,19991122,1.01410538214781,20061218,1.02655057642711
19991021,1.00420628236159,19991019,1.00936416660622,19991220,1.01481719568173,20070326,1.02626168244502
19991118,1.004343388939,19991123,1.00941884347893,20000124,1.01452099346427,20070625,1.02655991723141
19991223,1.00534958425295,19991221,1.00988865593658,20000222,1.01484145951773,20070924,1.02423321989918
20000120,1.0044760099517,20000118,1.0096255676474,20000320,1.01532343751076,20071224,1.02207454469565
20000217,1.00456267401298,20000222,1.00966734736867,20000424,1.01560249837074,20080324,1.01200778947426
20000323,1.00460077461064,20000321,1.01005998811811,20000522,1.0165517889028,20080623,1.01537899341338
20000420,1.00477731712698,20000418,1.01013383305746,20000619,1.01646708089115,20080922,1.01599980051573
20000518,1.00512968747279,20000523,1.01092740617184,20000724,1.01628863419358,20081222,1.00557796364591
20000622,1.00521741302149,20000620,1.01088033776466,20000821,1.01613376290782,20090323,1.0055895043473
20000720,1.00514816218437,20000718,1.01082940882776,20000918,1.01627652604345,20090622,1.00364525093176
20000817,1.00513707997201,20000822,1.0106977347854,20001023,1.0161943454814,20090921,1.00210877513144
20000921,1.00515851148547,20000919,1.01080386046778,20001120,1.01612871691046,20091221,1.00176493771243
20001019,1.00514227911621,20001017,1.01075581664385,20001218,1.01553082334196,20100322,1.00190041350509
20001116,1.00514075973112,20001121,1.01077019305482,20010122,1.0133010831315,20100621,1.00305478925473
20001221,1.00519935340912,20001219,1.01049421853423,20010220,1.01264829681403,20100920,1.00180877185099
20010118,1.00457771742905,20010116,1.00932010964122,20010319,1.01164369303957,20101220,1.00193131331857
20010215,1.00434013768201,20010220,1.00866523743497,20010423,1.01034355758519,20110321,1.00173649083692
20010322,1.00394078628453,20010320,1.00787385911893,20010521,1.00981595100976,20110620,1.00174244533158
20010419,1.00352535795213,20010417,1.00786157436726,20010625,1.00893022156476,20110919,1.00207302198937
20010517,1.00317888894631,20010522,1.00654107894564,20010723,1.0089143865134,20111219,1.00298030723268
20010621,1.00298577058768,20010619,1.00611329368396,20010820,1.0085225573594,20120326,1.00216253095384
20010719,1.002965172703,20010724,1.00597184448525,20010924,1.00631237114206,20120521,1.00241716945971
20010823,1.00278389492716,20010821,1.00566162722327,20011022,1.00565073349002,20120625,1.00206158692368
20010920,1.00206343583367,20010918,1.00471467747377,20011119,1.00509266737691,20120917,1.00150347765456
20011018,1.00193825576767,20011023,1.00380438296383,20011217,1.00467384623301,20121224,1.00152258496975
20011123,1.0015829753598,20011120,1.00337140946066,20020122,1.00438882656824,20130325,1.00154765883558
20011220,1.00147660898354,20011218,1.00307563116357,20020219,1.00466024253673,20130624,1.00160449401739
20020117,1.00136292161181,20020115,1.00280148248229,20020325,1.005317865126,20130722,1.00140245063366
20020214,1.00143744579834,20020219,1.00307014719959,20020422,1.00483589205859,20130923,1.00128884513621
20020321,1.00149140029317,20020319,1.0032490074453,20020520,1.00476823247649,20131223,1.00131715817644
20020418,1.00143940415462,20020423,1.00312883464832,20020624,1.00461061628637,20140324,1.00119542712463
20020523,1.00143263126449,20020521,1.00307183097222,20020722,1.00442101232919,20140623,1.00114407096687
20020620,1.00143357165682,20020618,1.00302231781585,20020819,1.0043078845757,20140721,1.00115069174105
20020718,1.00142489083928,20020723,1.00291964488329,20020923,1.00420161963139,20140922,1.00122191204647
20020822,1.0014072464488,20020820,1.00286917356232,20021021,1.00435113387151,20141222,1.00142255815893
20020919,1.00141299235899,20020917,1.00292918092099,20021125,1.00341992935022,20150323,1.00166615304981
20021017,1.00141911547218,20021022,1.00291890541579,20021223,1.00337982684333,20150622,1.00177475145458
20021121,1.001069083556,20021119,1.00224665222662,20030121,1.00315372818618,20150720,1.00198344873318
20021219,1.00107668509461,20021224,1.00225555590652,20030324,1.00308312119202,20150921,1.00192505504067
20030123,1.00104672883591,20030121,1.00216561335904,20030421,1.00314942385947,20151221,1.00331315610921
20030220,1.0010366024904,20030218,1.00210830063463,20030519,1.00292118886494,20160321,1.00341956283339
20030320,1.00097437401066,20030318,1.00203931461612,20030623,1.00236582780929,20160620,1.00338140169947
20030417,1.00102591050119,20030422,1.00211335525223,20030721,1.00266851357614,20160725,1.00397825041317
20030522,1.00102456368522,20030520,1.00197466851972,20030825,1.00280698471408,20160919,1.00424148099596
20030619,1.00082812995425,20030617,1.0017261308776,20030922,1.00279110714521,20161219,1.00510033655983
20030717,1.00085559083838,20030722,1.00177222346463,20031020,1.00284104440676,20170320,1.00616738990038
20030821,1.00086217899706,20030819,1.00181763703119,20031124,1.00283179771763,20170619,1.00660206936957
