Simulation,LL_A,LL_B,Beta_A,Beta_B,TestStatistic,PIT_Sup_A,PIT_Sup_B,PIT_Gain_B,PIT_Pairwise_Delta,KS_A,KS_B,ExitFlag_A,ExitFlag_B
14,607.039202653134,607.930380150443,1,1,1.78235499461857,0.0183098591549296,0.0267605633802817,-0.00845070422535212,0.0140845070422535,0.025519045381154,0.0336838717545261,1,2
15,617.188022531529,617.570452327686,1,1,0.764859592312405,0.0154929577464789,0.0154929577464789,-1.38777878078145e-17,0.0112676056338028,0.0205462120784367,0.0214851855591321,2,2
16,608.264857166321,612.090351792075,1,1,7.65098925150778,0.0380281690140845,0.0295774647887324,0.00845070422535213,0.0169014084507042,0.0535579441675193,0.038963532307579,2,2
17,642.800865240239,643.713366234673,1,1,1.8250019888676,0.0154929577464789,0.0126760563380282,0.0028169014084507,0.0140845070422535,0.0214251394780074,0.0333187708681104,1,2
18,615.225437778278,615.644035491407,1,1,0.837195426257722,0.0295774647887324,0.023943661971831,0.0056338028169014,0.00845070422535212,0.0313414296354995,0.0322622201818983,1,2
19,643.459749144879,646.438227699115,1,1,5.95695710847281,0.023943661971831,0.0323943661971831,-0.00845070422535213,0.0253521126760563,0.0299972307031788,0.0499963426379882,2,2
20,580.422465158302,581.537585537641,1,1,2.23024075867875,0.0408450704225352,0.0408450704225352,0,0.0169014084507042,0.0474257772691072,0.0510938607732784,2,2
21,664.144336488282,665.777786456404,1,1,3.26689993624564,0.0154929577464789,0.0183098591549296,-0.00281690140845071,0.0197183098591549,0.0260761248057501,0.0223171004667228,2,2
22,632.758967073881,636.790093464772,1,1,8.06225278178113,0.0380281690140845,0.0352112676056338,0.0028169014084507,0.028169014084507,0.0760733395698973,0.0403328536981424,2,2
23,620.492222722174,620.700843158356,1,1,0.417240872364573,0.0211267605633803,0.0211267605633803,0,0.0112676056338028,0.0286680199517891,0.0287019571746089,2,2
24,626.848718542813,627.177977575175,1,1,0.658518064724603,0.0323943661971831,0.0323943661971831,0,0.0056338028169014,0.0416117586535671,0.0417138728044273,2,2
25,620.404009398996,620.587172321745,1,1,0.366325845499205,0.0323943661971831,0.0352112676056338,-0.0028169014084507,0.0112676056338028,0.0333694771969294,0.0359635716110175,1,2
26,622.883939867171,623.045406214665,1,1,0.322932694987685,0.0267605633802817,0.0183098591549296,0.00845070422535212,0.0140845070422535,0.0408801734989362,0.0402428724638455,2,2
27,631.017660884795,632.187408425292,1,1,2.33949508099408,0.0183098591549296,0.0211267605633803,-0.00281690140845071,0.0112676056338028,0.0321094912361899,0.0230383295651724,2,2
28,617.295960809924,619.384598887491,1,1,4.17727615513422,0.023943661971831,0.0352112676056338,-0.0112676056338028,0.0197183098591549,0.0478939376923531,0.0344562617605839,2,2
29,632.425560483232,635.044438047852,1,1,5.23775512924044,0.0267605633802817,0.0267605633802817,1.38777878078145e-17,0.00845070422535212,0.0430476935048496,0.0329267615173836,1,2
30,596.443069689564,597.005615992973,1,1,1.12509260681645,0.023943661971831,0.0211267605633803,0.0028169014084507,0.0112676056338028,0.0462569940709835,0.0364835221632206,1,2
31,625.325632676235,629.050097785816,1,1,7.448930219163,0.0295774647887324,0.023943661971831,0.0056338028169014,0.0169014084507042,0.0488478543964345,0.0334607237339508,2,2
