Simulation,LL_A,LL_B,Beta_A,Beta_B,TestStatistic,PIT_Sup_A,PIT_Sup_B,PIT_Gain_B,PIT_Pairwise_Delta,KS_A,KS_B,ExitFlag_A,ExitFlag_B
14,638.386801233067,638.40879302057,1,1.02,0.0439835750069051,0.023943661971831,0.023943661971831,0,0.00563380281690141,0.0338411928615472,0.0337018142761407,2,2
15,627.878336080781,627.914792686342,1,1.02,0.0729132111214312,0.0267605633802817,0.0211267605633803,0.0056338028169014,0.00845070422535212,0.0320019860545716,0.0321330459888569,2,2
16,646.046157759933,646.364000192829,1,0.93,0.635684865791973,0.0408450704225352,0.0464788732394366,-0.0056338028169014,0.0140845070422535,0.0588469193006486,0.0651839004724313,2,2
17,619.313556760197,619.342255957559,1,1.02,0.0573983947244869,0.0352112676056338,0.0295774647887324,0.00563380281690141,0.00845070422535212,0.0481971138145721,0.0470111675745951,2,2
18,637.296497322003,637.651763379317,1,0.92,0.710532114628222,0.023943661971831,0.023943661971831,-1.38777878078145e-17,0.0140845070422535,0.0375090697889229,0.0308254378623524,2,2
19,646.707769565723,646.723812640081,1,0.98,0.0320861487150523,0.0464788732394366,0.0464788732394366,0,0.00563380281690141,0.054859466012243,0.0548423269351359,2,2
20,634.753294511955,634.753294511955,1,1,0,0.0295774647887324,0.0295774647887324,0,0,0.0542641103685586,0.0542641103685586,1,1
21,612.771967036016,612.771967036016,1,1,0,0.0267605633802817,0.0267605633802817,0,0,0.0391716112629462,0.0391716112629462,2,2
22,611.340483069535,611.661071934489,1,0.93,0.641177729907668,0.023943661971831,0.0154929577464789,0.0084507042253521,0.0112676056338028,0.0388613363525949,0.0365570599073431,2,2
23,638.374237630108,638.375112673014,1,0.99,0.00175008581186376,0.0352112676056338,0.0352112676056338,0,0,0.0598248818571908,0.0607982054644994,2,2
24,631.338025273368,631.342504654503,1,1.02,0.00895876227014014,0.0211267605633803,0.0267605633802817,-0.0056338028169014,0.0056338028169014,0.0433637000017116,0.0428573866553593,2,2
25,628.774782379613,629.16930049276,1,0.88,0.789036226292183,0.0352112676056338,0.0295774647887324,0.0056338028169014,0.0112676056338028,0.0387262580772921,0.040279707411917,2,2
26,609.906195114683,609.90994087315,1,1.01,0.00749151693526073,0.0323943661971831,0.0295774647887324,0.00281690140845071,0.00281690140845071,0.0504997202190167,0.0502672785107706,2,2
27,631.681577349097,631.6826344514,1,0.99,0.00211420460618683,0.023943661971831,0.023943661971831,0,0.00563380281690141,0.0398078632077258,0.0395362010414262,2,2
28,659.235156741214,661.431084178737,1,0.88,4.39185487504574,0.023943661971831,0.0380281690140845,-0.0140845070422535,0.0169014084507042,0.049369343626793,0.0443616172217515,2,2
29,632.076468129116,632.715043008835,1,0.88,1.27714975943695,0.0380281690140845,0.0352112676056338,0.00281690140845073,0.0140845070422535,0.0471382070564361,0.0443309905052716,2,1
30,614.170054200554,614.27273823361,1,0.98,0.205368066110623,0.0183098591549296,0.0183098591549296,0,0.00563380281690141,0.0366349303520598,0.0292761406112051,2,2
31,621.549838529426,621.647332417342,1,1.02,0.194987775831578,0.0211267605633803,0.0154929577464789,0.0056338028169014,0.00563380281690141,0.034447390895974,0.0341456709563204,2,2
32,615.239625587054,615.498208526554,1,1.02,0.517165878999549,0.0323943661971831,0.0352112676056338,-0.0028169014084507,0.00281690140845071,0.0747107306252561,0.0727298827895843,2,1
33,634.629720275836,634.652268505069,1,1.02,0.0450964584661051,0.0549295774647887,0.0464788732394366,0.0084507042253521,0.00845070422535212,0.0589806124077898,0.0580899656724776,1,2
34,636.514019036926,637.044067922271,1,0.89,1.06009777068948,0.0267605633802817,0.0183098591549296,0.0084507042253521,0.0197183098591549,0.0424405125646448,0.0302416827702445,1,2
35,625.132708025377,625.155400865224,1,1.02,0.045385679694391,0.0323943661971831,0.0295774647887324,0.00281690140845071,0.00845070422535212,0.038999928476276,0.0358964063514725,1,2
36,628.491645966247,628.609844267833,1,0.95,0.236396603172807,0.0464788732394366,0.0408450704225352,0.00563380281690139,0.00845070422535211,0.0659000362785173,0.0746244106367989,1,2
37,617.423185576762,617.683406699958,1,1.02,0.520442246393259,0.0436619718309859,0.0436619718309859,0,0.0140845070422535,0.0643264952740459,0.0622018807492538,2,1
38,626.617282831572,626.670380293118,1,0.96,0.106194923091834,0.0295774647887324,0.0295774647887324,0,0.00563380281690141,0.0284075599300033,0.0276050529297354,2,2
39,636.503017226547,636.557217213736,1,1.02,0.10839997437688,0.023943661971831,0.023943661971831,0,0.00281690140845071,0.0418398925769534,0.0413790384129792,1,2
40,605.791496815389,606.025641075178,1,1.02,0.468288519577527,0.0323943661971831,0.0295774647887324,0.0028169014084507,0.00563380281690141,0.0399170027968959,0.0385776152779668,1,2
41,647.204701743762,647.367894273457,1,0.93,0.326385059389168,0.0183098591549296,0.0295774647887324,-0.0112676056338028,0.0140845070422535,0.0379224573150696,0.0409649130105511,2,2
42,622.121351928359,622.228527606469,1,1.02,0.21435135621914,0.0183098591549296,0.0211267605633803,-0.00281690140845071,0.00563380281690141,0.0303871159704861,0.0293142524133953,2,2
43,603.383935124441,603.453451294446,1,1.02,0.139032340009862,0.0211267605633803,0.0211267605633803,0,0.00563380281690141,0.0262458771053505,0.0270359818850192,1,1
44,620.122848205996,620.295416744717,1,1.02,0.345137077442359,0.0267605633802817,0.0267605633802817,0,0.00281690140845071,0.04385562651613,0.0426856868419769,2,2
45,622.320810813761,622.326646615503,1,0.99,0.0116716034840465,0.0464788732394366,0.0464788732394366,0,0.00281690140845071,0.0545883765834837,0.0563384451768413,2,2
46,612.764646121725,612.966976924043,1,0.95,0.404661604635976,0.0352112676056338,0.0295774647887324,0.0056338028169014,0.0112676056338028,0.0424829866410918,0.0375288404696855,2,2
47,607.463228681358,607.73589071398,1,1.02,0.545324065243449,0.0211267605633803,0.0183098591549296,0.0028169014084507,0.00563380281690141,0.039059369915138,0.0373231107025628,2,1
48,624.670580411708,624.764136816784,1,1.02,0.187112810151348,0.0211267605633803,0.0211267605633803,0,0.00281690140845071,0.0335833713416094,0.0324431423134418,2,2
49,621.583620810769,621.785668470201,1,1.02,0.404095318865302,0.0183098591549296,0.0183098591549296,0,0.0028169014084507,0.0311244924466108,0.0287069695585332,2,2
50,635.67713813326,635.743332660157,1,1.02,0.13238905379535,0.023943661971831,0.0267605633802817,-0.0028169014084507,0.00281690140845071,0.0498859985031209,0.048123848964517,2,1
